edad,sexo,ciudad,segmento_cliente,canal_adquisicion,cliente_premium,usa_cupon,dispositivo,visitas_sitio_mes,paginas_vistas,tiempo_promedio_sitio_min,compras_previas,dias_desde_ultima_compra,score_fidelizacion,carrito_abandonado_pct,monto_promedio_compra
54.0,Mujer,La Serena,Bronce,Referido,No,Sí,Desktop,29,22,8.93,4,47,73.0,34.22,48320.04
66.0,Hombre,Rancagua,Oro,Referido,Sí,Sí,Mobile,33,34,15.52,7,39,97.0,33.62,88514.39
24.0,Hombre,Puerto Montt,Plata,Google Ads,Sí,No,Desktop,36,20,14.02,3,32,72.0,47.47,69605.84
45.0,Mujer,Concepción,Premium,Orgánico,No,No,Mobile,37,7,9.27,6,27,93.0,26.61,79815.09
53.0,Hombre,La Serena,Premium,Orgánico,No,No,Mobile,36,24,16.12,12,8,100.0,28.1,69923.19
52.0,Mujer,Santiago,Bronce,Referido,No,No,Desktop,15,15,10.39,4,92,48.0,19.0,36394.27
56.0,Mujer,La Serena,Premium,Referido,Sí,No,Desktop,30,23,13.94,6,23,100.0,16.35,76038.98
53.0,Mujer,Temuco,Oro,Email,No,Sí,Mobile,29,32,13.69,3,21,71.0,22.73,44397.94
27.0,Hombre,La Serena,Plata,Instagram,No,No,Tablet,15,8,10.59,6,16,83.0,36.54,23323.59
20.0,Hombre,Temuco,Bronce,Email,No,No,Mobile,25,15,15.8,4,76,70.0,29.42,49323.83
70.0,Mujer,Valparaíso,Oro,Orgánico,No,No,Mobile,38,13,8.76,6,76,65.0,23.36,47582.65
35.0,Hombre,Puerto Montt,Oro,Referido,No,No,Mobile,24,27,13.45,8,14,92.0,38.3,59758.13
48.0,Mujer,Temuco,Oro,Email,No,No,Mobile,25,17,9.9,8,24,100.0,23.15,59303.0
37.0,Mujer,Rancagua,Oro,Email,No,No,Desktop,41,20,7.77,6,56,75.0,21.62,67870.74
33.0,Mujer,Temuco,Plata,Google Ads,No,No,Desktop,28,10,7.51,5,46,55.0,16.9,52372.41
65.0,Mujer,Puerto Montt,Oro,Referido,Sí,No,Desktop,42,24,10.72,10,1,100.0,21.76,94500.2
67.0,Hombre,Rancagua,Bronce,Google Ads,Sí,Sí,Tablet,21,23,,6,31,100.0,36.39,54710.94
48.0,Hombre,La Serena,Premium,Orgánico,No,No,Tablet,42,32,16.56,10,19,96.0,16.11,114202.19
19.0,Mujer,Concepción,Bronce,Email,No,Sí,Mobile,22,11,6.96,4,32,80.0,31.35,48463.53
29.0,Mujer,La Serena,Bronce,Referido,No,Sí,Desktop,25,16,10.18,5,76,65.0,38.75,50469.19
58.0,Mujer,Antofagasta,Plata,Email,No,No,Desktop,20,16,6.31,8,1,79.0,27.62,51655.68
36.0,Hombre,Valparaíso,Bronce,Email,No,Sí,Desktop,22,8,12.09,9,28,86.0,41.08,42580.85
28.0,Mujer,Rancagua,Oro,Orgánico,No,No,Mobile,32,19,11.19,2,45,66.0,31.02,75714.52
67.0,Mujer,Rancagua,Plata,Referido,No,Sí,Mobile,28,20,11.3,8,20,86.0,17.85,46327.44
49.0,Mujer,Valparaíso,Plata,Orgánico,No,No,Mobile,22,9,10.4,6,28,70.0,11.46,72978.84
54.0,Mujer,Rancagua,Oro,Google Ads,No,No,Mobile,19,5,5.47,6,37,83.0,40.12,34518.01
38.0,Mujer,Rancagua,Oro,Google Ads,No,Sí,Mobile,21,16,11.39,7,1,100.0,20.25,73209.0
52.0,Hombre,Santiago,Bronce,Instagram,No,Sí,Mobile,31,18,9.77,5,59,84.0,46.05,60013.39
39.0,Hombre,Temuco,Oro,Instagram,No,No,Mobile,27,18,11.14,8,14,100.0,35.08,58911.18
21.0,Mujer,Concepción,Bronce,Orgánico,Sí,Sí,Mobile,31,29,18.23,9,0,88.0,33.25,77462.83
69.0,Mujer,Antofagasta,Oro,Email,No,No,Desktop,7,2,5.66,4,67,47.0,26.06,32755.86
51.0,Mujer,La Serena,Premium,Google Ads,No,No,Mobile,36,9,7.06,8,50,99.0,21.09,69468.16
24.0,Hombre,,Oro,Email,No,No,Desktop,30,15,9.51,7,39,100.0,19.79,63512.58
62.0,Mujer,,Plata,Email,No,No,Mobile,16,12,12.91,8,52,93.0,21.36,46404.96
66.0,Hombre,Rancagua,Premium,Orgánico,No,Sí,Mobile,38,14,7.56,7,35,100.0,24.14,96567.63
51.0,Mujer,Santiago,Bronce,Email,No,No,Desktop,27,8,7.78,8,48,77.0,33.68,53170.71
40.0,Mujer,Concepción,Plata,Google Ads,No,Sí,Mobile,29,24,8.2,4,55,66.0,44.83,48684.81
63.0,Mujer,Concepción,Plata,Referido,No,No,Mobile,28,4,9.76,5,49,57.0,51.17,42585.73
21.0,Hombre,Antofagasta,Bronce,Orgánico,No,No,Desktop,12,1,4.64,3,54,62.0,35.55,10714.88
33.0,Hombre,Valparaíso,Bronce,Google Ads,No,Sí,Desktop,14,4,8.55,6,81,91.0,18.35,31355.43
58.0,Mujer,Concepción,Premium,Orgánico,No,No,Mobile,30,18,8.3,4,42,70.0,20.4,40147.41
58.0,Hombre,Rancagua,Bronce,Orgánico,No,No,Tablet,22,19,7.37,1,105,41.0,43.96,24708.91
39.0,Hombre,Puerto Montt,Bronce,Google Ads,No,No,Mobile,10,13,7.05,5,38,63.0,41.2,44679.54
58.0,Hombre,Temuco,Oro,Google Ads,No,No,Mobile,27,23,11.17,5,48,84.0,40.21,38937.77
70.0,Hombre,Puerto Montt,Bronce,Email,No,Sí,Mobile,29,12,4.2,6,53,64.0,40.56,34361.87
28.0,Hombre,Rancagua,Bronce,Instagram,No,No,Mobile,15,15,11.33,4,56,50.0,21.3,12308.92
48.0,Hombre,Rancagua,Oro,Instagram,No,Sí,Mobile,37,23,11.4,9,14,100.0,36.82,93015.57
35.0,Mujer,Rancagua,Plata,Orgánico,No,Sí,Tablet,32,28,8.14,7,0,70.0,36.35,73012.87
,Mujer,Valparaíso,Oro,Google Ads,No,No,Desktop,24,1,3.81,5,23,81.0,22.99,44734.37
19.0,Hombre,Valparaíso,Plata,Google Ads,No,Sí,Desktop,21,15,13.16,9,41,80.0,28.07,71315.13
38.0,Mujer,Santiago,Bronce,Email,No,Sí,Mobile,18,28,12.13,3,60,64.0,37.82,41540.22
68.0,Hombre,Santiago,Premium,Referido,No,Sí,Mobile,47,34,20.8,9,0,100.0,19.79,119418.16
27.0,Mujer,Rancagua,Premium,Orgánico,No,No,Mobile,43,17,10.25,5,24,73.0,15.56,78854.94
58.0,Mujer,Santiago,Plata,Orgánico,No,Sí,Mobile,18,14,13.89,10,25,100.0,23.8,71404.83
42.0,Hombre,La Serena,Plata,Orgánico,No,No,Mobile,25,19,8.15,8,5,94.0,27.54,51823.49
33.0,Mujer,La Serena,Plata,Google Ads,No,No,Mobile,28,22,9.66,8,49,85.0,57.06,48841.09
56.0,Mujer,Puerto Montt,Oro,Email,No,No,Tablet,22,19,11.53,2,52,51.0,30.79,56220.54
59.0,Mujer,Antofagasta,Oro,Google Ads,No,No,Mobile,31,31,12.25,7,59,98.0,39.76,71153.39
56.0,Hombre,Concepción,Premium,Google Ads,No,No,Mobile,39,21,12.47,5,38,75.0,42.99,64001.71
49.0,Otro,La Serena,Oro,Email,No,No,Desktop,25,18,9.81,7,31,95.0,15.61,77477.04
69.0,Mujer,Rancagua,Bronce,Google Ads,No,Sí,Mobile,30,25,12.89,7,97,80.0,41.11,63788.63
37.0,Hombre,Antofagasta,Plata,Instagram,No,No,Desktop,27,15,11.2,12,73,100.0,6.11,77457.98
29.0,Mujer,Temuco,Oro,Orgánico,No,Sí,Desktop,24,12,7.76,4,18,85.0,27.88,45927.99
19.0,Hombre,Temuco,Bronce,Referido,No,Sí,Desktop,18,13,1.44,7,78,76.0,44.51,36545.67
37.0,Hombre,Rancagua,Premium,Orgánico,No,No,Desktop,43,32,10.93,7,39,100.0,17.87,87216.95
21.0,Hombre,Temuco,Oro,Instagram,No,No,Tablet,36,14,12.42,6,43,98.0,36.09,73311.83
