id_cliente,edad,sexo,ciudad,segmento_cliente,canal_adquisicion,cliente_premium,usa_cupon,dispositivo,visitas_sitio_mes,paginas_vistas,tiempo_promedio_sitio_min,compras_previas,dias_desde_ultima_compra,score_fidelizacion,carrito_abandonado_pct,monto_promedio_compra
10001,54.0,Mujer,La Serena,Bronce,Referido,No,Sí,Desktop,29,22,8.93,4,47,73.0,34.22,48320.04
10002,66.0,Hombre,Rancagua,Oro,Referido,Sí,Sí,Mobile,33,34,15.52,7,39,97.0,33.62,88514.39
10003,24.0,Hombre,Puerto Montt,Plata,Google Ads,Sí,No,Desktop,36,20,14.02,3,32,72.0,47.47,69605.84
10004,45.0,Mujer,Concepción,Premium,Orgánico,No,No,Mobile,37,7,9.27,6,27,93.0,26.61,79815.09
10005,53.0,Hombre,La Serena,Premium,Orgánico,No,No,Mobile,36,24,16.12,12,8,100.0,28.1,69923.19
10006,52.0,Mujer,Santiago,Bronce,Referido,No,No,Desktop,15,15,10.39,4,92,48.0,19.0,36394.27
10007,56.0,Mujer,La Serena,Premium,Referido,Sí,No,Desktop,30,23,13.94,6,23,100.0,16.35,76038.98
10008,53.0,Mujer,Temuco,Oro,Email,No,Sí,Mobile,29,32,13.69,3,21,71.0,22.73,44397.94
10009,27.0,Hombre,La Serena,Plata,Instagram,No,No,Tablet,15,8,10.59,6,16,83.0,36.54,23323.59
10010,20.0,Hombre,Temuco,Bronce,Email,No,No,Mobile,25,15,15.8,4,76,70.0,29.42,49323.83
10011,70.0,Mujer,Valparaíso,Oro,Orgánico,No,No,Mobile,38,13,8.76,6,76,65.0,23.36,47582.65
10012,35.0,Hombre,Puerto Montt,Oro,Referido,No,No,Mobile,24,27,13.45,8,14,92.0,38.3,59758.13
10013,48.0,Mujer,Temuco,Oro,Email,No,No,Mobile,25,17,9.9,8,24,100.0,23.15,59303.0
10014,37.0,Mujer,Rancagua,Oro,Email,No,No,Desktop,41,20,7.77,6,56,75.0,21.62,67870.74
10015,33.0,Mujer,Temuco,Plata,Google Ads,No,No,Desktop,28,10,7.51,5,46,55.0,16.9,52372.41
10016,65.0,Mujer,Puerto Montt,Oro,Referido,Sí,No,Desktop,42,24,10.72,10,1,100.0,21.76,94500.2
10017,67.0,Hombre,Rancagua,Bronce,Google Ads,Sí,Sí,Tablet,21,23,,6,31,100.0,36.39,54710.94
10018,48.0,Hombre,La Serena,Premium,Orgánico,No,No,Tablet,42,32,16.56,10,19,96.0,16.11,114202.19
10019,19.0,Mujer,Concepción,Bronce,Email,No,Sí,Mobile,22,11,6.96,4,32,80.0,31.35,48463.53
10020,29.0,Mujer,La Serena,Bronce,Referido,No,Sí,Desktop,25,16,10.18,5,76,65.0,38.75,50469.19
10021,58.0,Mujer,Antofagasta,Plata,Email,No,No,Desktop,20,16,6.31,8,1,79.0,27.62,51655.68
10022,36.0,Hombre,Valparaíso,Bronce,Email,No,Sí,Desktop,22,8,12.09,9,28,86.0,41.08,42580.85
10023,28.0,Mujer,Rancagua,Oro,Orgánico,No,No,Mobile,32,19,11.19,2,45,66.0,31.02,75714.52
10024,67.0,Mujer,Rancagua,Plata,Referido,No,Sí,Mobile,28,20,11.3,8,20,86.0,17.85,46327.44
10025,49.0,Mujer,Valparaíso,Plata,Orgánico,No,No,Mobile,22,9,10.4,6,28,70.0,11.46,72978.84
10026,54.0,Mujer,Rancagua,Oro,Google Ads,No,No,Mobile,19,5,5.47,6,37,83.0,40.12,34518.01
10027,38.0,Mujer,Rancagua,Oro,Google Ads,No,Sí,Mobile,21,16,11.39,7,1,100.0,20.25,73209.0
10028,52.0,Hombre,Santiago,Bronce,Instagram,No,Sí,Mobile,31,18,9.77,5,59,84.0,46.05,60013.39
10029,39.0,Hombre,Temuco,Oro,Instagram,No,No,Mobile,27,18,11.14,8,14,100.0,35.08,58911.18
10030,21.0,Mujer,Concepción,Bronce,Orgánico,Sí,Sí,Mobile,31,29,18.23,9,0,88.0,33.25,77462.83
10031,69.0,Mujer,Antofagasta,ORO,Email,No,No,Desktop,7,2,5.66,4,67,47.0,26.06,32755.86
10032,51.0,Mujer,La Serena,Premium,Google Ads,No,No,Mobile,36,9,7.06,8,50,99.0,21.09,69468.16
10033,24.0,Hombre,,Oro,EMAIL ,No,No,Desktop,30,15,9.51,7,39,100.0,19.79,63512.58
10034,62.0,Mujer,,Plata,Email,No,No,Mobile,16,12,12.91,8,52,93.0,21.36,46404.96
10035,66.0,Hombre,Rancagua,Premium,Orgánico,No,Sí,Mobile,38,14,7.56,7,35,100.0,24.14,96567.63
10036,51.0,Mujer,Santiago,Bronce,Email,No,No,Desktop,27,8,7.78,8,48,77.0,33.68,53170.71
